Team,Result,Toss,Bat,Opposition,Ground,Date
South Africa,lost,lost,1st,India,Kolkata,10-Nov-91
South Africa,lost,won,2nd,India,Gwalior,12-Nov-91
South Africa,won,lost,2nd,India,New Delhi,14-Nov-91
South Africa,won,won,2nd,India,Adelaide,15-Mar-92
South Africa,won,lost,2nd,India,Cape Town,07-Dec-92
South Africa,won,lost,2nd,India,Port Elizabeth,09-Dec-92
South Africa,lost,lost,1st,India,Centurion,11-Dec-92
South Africa,won,won,2nd,India,Johannesburg,13-Dec-92
South Africa,won,won,2nd,India,Bloemfontein,15-Dec-92
South Africa,won,lost,1st,India,Durban,17-Dec-92
South Africa,lost,lost,1st,India,East London,19-Dec-92
South Africa,lost,won,2nd,India,Mohali,22-Nov-93
South Africa,lost,lost,2nd,India,Kolkata,24-Nov-93
South Africa,won,won,1st,India,Hamilton,18-Feb-95
South Africa,won,won,1st,India,Sharjah,14-Apr-96
South Africa,won,lost,2nd,India,Sharjah,17-Apr-96
South Africa,won,won,1st,India,Sharjah,19-Apr-96
South Africa,won,won,1st,India,Hyderabad (Deccan),17-Oct-96
South Africa,won,lost,1st,India,Jaipur,23-Oct-96
South Africa,won,lost,2nd,India,Rajkot,29-Oct-96
South Africa,lost,lost,2nd,India,Mumbai,06-Nov-96
South Africa,lost,lost,2nd,India,Mumbai,14-Dec-96
South Africa,won,won,1st,India,Bloemfontein,23-Jan-97
South Africa,won,lost,2nd,India,Port Elizabeth,02-Feb-97
South Africa,won,lost,2nd,India,East London,04-Feb-97
South Africa,n/r,lost,2nd,India,Durban,12-Feb-97
South Africa,won,won,1st,India,Durban,13-Feb-97
South Africa,won,lost,2nd,India,Hove,15-May-99
South Africa,lost,won,1st,India,Nairobi (Gym),26-Sep-99
South Africa,won,lost,1st,India,Nairobi (Gym),03-Oct-99
South Africa,lost,won,1st,India,Kochi,09-Mar-00
South Africa,lost,won,1st,India,Jamshedpur,12-Mar-00
South Africa,won,won,2nd,India,Faridabad,15-Mar-00
South Africa,lost,won,1st,India,Vadodara,17-Mar-00
