Team,Result,Toss,Bat,Opposition,Ground,Date
Australia,lost,won,2nd,India,Melbourne,06-Dec-80
Australia,won,won,2nd,India,Sydney,18-Dec-80
Australia,won,won,2nd,India,Sydney,08-Jan-81
Australia,won,won,2nd,India,Melbourne,11-Jan-81
Australia,won,lost,1st,India,Sydney,15-Jan-81
Australia,won,won,1st,India,Nottingham,13-Jun-83
Australia,lost,lost,2nd,India,Chelmsford,20-Jun-83
Australia,won,won,1st,India,New Delhi,28-Sep-84
Australia,n/r,won,2nd,India,Thiruvananthapuram,01-Oct-84
Australia,n/r,won,2nd,India,Jamshedpur,03-Oct-84
Australia,won,won,2nd,India,Ahmedabad,05-Oct-84
Australia,won,won,2nd,India,Indore,06-Oct-84
Australia,lost,lost,1st,India,Melbourne,03-Mar-85
Australia,lost,lost,1st,India,Sharjah,29-Mar-85
Australia,won,won,2nd,India,Brisbane,12-Jan-86
Australia,lost,lost,1st,India,Melbourne,16-Jan-86
Australia,won,lost,1st,India,Sydney,21-Jan-86
Australia,won,lost,1st,India,Adelaide,26-Jan-86
Australia,lost,won,1st,India,Melbourne,31-Jan-86
Australia,won,lost,1st,India,Sydney,05-Feb-86
Australia,won,won,2nd,India,Melbourne,09-Feb-86
Australia,lost,lost,1st,India,Jaipur,07-Sep-86
Australia,won,won,2nd,India,Srinagar,09-Sep-86
Australia,n/r,lost,1st,India,Hyderabad (Deccan),24-Sep-86
Australia,lost,lost,1st,India,Delhi,02-Oct-86
Australia,lost,lost,2nd,India,Ahmedabad,05-Oct-86
Australia,won,won,2nd,India,Rajkot,07-Oct-86
Australia,lost,lost,1st,India,Sharjah,05-Apr-87
Australia,won,lost,1st,India,Chennai,09-Oct-87
Australia,lost,won,2nd,India,Delhi,22-Oct-87
Australia,lost,won,1st,India,Bangalore,27-Oct-89
Australia,won,won,1st,India,Christchurch,03-Mar-90
Australia,won,lost,2nd,India,Hamilton,08-Mar-90
Australia,lost,lost,2nd,India,Perth,08-Dec-91
Australia,won,lost,2nd,India,Hobart,10-Dec-91
Australia,won,lost,2nd,India,Adelaide,15-Dec-91
Australia,won,lost,2nd,India,Sydney,14-Jan-92
Australia,won,won,1st,India,Melbourne,18-Jan-92
Australia,won,won,1st,India,Sydney,20-Jan-92
Australia,won,won,1st,India,Brisbane,01-Mar-92
Australia,lost,won,1st,India,Sharjah,19-Apr-94
Australia,lost,lost,2nd,India,Colombo (RPS),09-Sep-94
Australia,lost,won,1st,India,Dunedin,22-Feb-95
Australia,won,won,1st,India,Mumbai,27-Feb-96
Australia,won,won,2nd,India,Colombo (SSC),06-Sep-96
Australia,lost,won,1st,India,Bangalore,21-Oct-96
Australia,aban,-,-,India,Cuttack,27-Oct-96
Australia,lost,won,2nd,India,Mohali,03-Nov-96
Australia,lost,lost,2nd,India,Kochi,01-Apr-98
Australia,lost,won,1st,India,Kanpur,07-Apr-98
Australia,won,lost,2nd,India,Delhi,14-Apr-98
Australia,won,won,1st,India,Sharjah,19-Apr-98
Australia,won,won,1st,India,Sharjah,22-Apr-98
Australia,lost,lost,1st,India,Sharjah,24-Apr-98
Australia,lost,won,2nd,India,Dhaka,28-Oct-98
Australia,won,lost,1st,India,The Oval,04-Jun-99
Australia,won,lost,2nd,India,Galle,23-Aug-99
Australia,won,lost,1st,India,Colombo (SSC),28-Aug-99
Australia,won,won,1st,India,Melbourne,12-Jan-00
Australia,won,lost,2nd,India,Sydney,14-Jan-00
Australia,won,won,1st,India,Adelaide,26-Jan-00
Australia,won,lost,2nd,India,Perth,30-Jan-00
Australia,lost,won,2nd,India,Nairobi (Gym),07-Oct-00
Australia,lost,lost,2nd,India,Bangalore,25-Mar-01
Australia,won,lost,2nd,India,Pune,28-Mar-01
Australia,lost,won,2nd,India,Indore,31-Mar-01
Australia,won,won,1st,India,Visakhapatnam,03-Apr-01
Australia,won,lost,2nd,India,Margao,06-Apr-01
Australia,won,lost,2nd,India,Centurion,15-Feb-03
Australia,won,lost,1st,India,Johannesburg,23-Mar-03
Australia,lost,lost,2nd,India,Gwalior,26-Oct-03
Australia,won,won,1st,India,Mumbai,01-Nov-03
Australia,won,won,1st,India,Bangalore,12-Nov-03
Australia,won,won,1st,India,Kolkata,18-Nov-03
Australia,won,won,1st,India,Melbourne,09-Jan-04
Australia,lost,lost,2nd,India,Brisbane,18-Jan-04
Australia,won,lost,2nd,India,Sydney,22-Jan-04
Australia,won,lost,2nd,India,Perth,01-Feb-04
Australia,won,lost,2nd,India,Melbourne,06-Feb-04
Australia,won,won,1st,India,Sydney,08-Feb-04
Australia,n/r,won,1st,India,Amstelveen,23-Aug-04
Australia,n/r,won,1st,India,Kuala Lumpur,16-Sep-06
Australia,won,won,1st,India,Kuala Lumpur,22-Sep-06
Australia,won,lost,2nd,India,Mohali,29-Oct-06
Australia,n/r,won,1st,India,Bangalore,29-Sep-07
Australia,won,lost,1st,India,Kochi,02-Oct-07
Australia,won,won,1st,India,Hyderabad (Deccan),05-Oct-07
Australia,lost,lost,2nd,India,Chandigarh,08-Oct-07
Australia,won,lost,2nd,India,Vadodara,11-Oct-07
Australia,won,won,1st,India,Nagpur,14-Oct-07
Australia,lost,won,1st,India,Mumbai,17-Oct-07
Australia,n/r,lost,2nd,India,Brisbane,03-Feb-08
Australia,lost,won,1st,India,Melbourne,10-Feb-08
Australia,won,won,1st,India,Adelaide,17-Feb-08
Australia,won,won,1st,India,Sydney,24-Feb-08
Australia,lost,won,1st,India,Sydney,02-Mar-08
Australia,lost,lost,2nd,India,Brisbane,04-Mar-08
Australia,n/r,won,1st,India,Centurion,28-Sep-09
Australia,won,won,1st,India,Vadodara,25-Oct-09
Australia,lost,won,2nd,India,Nagpur,28-Oct-09
Australia,lost,won,2nd,India,Melbourne,06-Dec-80
Australia,won,won,2nd,India,Sydney,18-Dec-80
Australia,won,won,2nd,India,Sydney,08-Jan-81
Australia,won,won,2nd,India,Melbourne,11-Jan-81
Australia,won,lost,1st,India,Sydney,15-Jan-81
Australia,won,won,1st,India,Nottingham,13-Jun-83
Australia,lost,lost,2nd,India,Chelmsford,20-Jun-83
Australia,won,won,1st,India,New Delhi,28-Sep-84
Australia,n/r,won,2nd,India,Thiruvananthapuram,01-Oct-84
Australia,n/r,won,2nd,India,Jamshedpur,03-Oct-84
Australia,won,won,2nd,India,Ahmedabad,05-Oct-84
Australia,won,won,2nd,India,Indore,06-Oct-84
Australia,lost,lost,1st,India,Melbourne,03-Mar-85
Australia,lost,lost,1st,India,Sharjah,29-Mar-85
