Team,Result,Toss,Bat,Opposition,Ground,Date
Bangladesh,lost,lost,1st,India,Chittagong,27-Oct-88
Bangladesh,lost,won,1st,India,Chandigarh,25-Dec-90
Bangladesh,lost,won,1st,India,Sharjah,05-Apr-95
Bangladesh,lost,lost,1st,India,Colombo (SSC),24-Jul-97
Bangladesh,lost,lost,1st,India,Dhaka,10-Jan-98
Bangladesh,lost,lost,1st,India,Mohali,14-May-98
Bangladesh,lost,won,1st,India,Mumbai,25-May-98
Bangladesh,lost,won,1st,India,Dhaka,30-May-00
Bangladesh,lost,lost,2nd,India,Dhaka,11-Apr-03
Bangladesh,lost,won,1st,India,Dhaka,16-Apr-03
Bangladesh,lost,lost,1st,India,Colombo (SSC),21-Jul-04
Bangladesh,lost,won,2nd,India,Chittagong,23-Dec-04
Bangladesh,won,won,1st,India,Dhaka,26-Dec-04
Bangladesh,lost,lost,2nd,India,Dhaka,27-Dec-04
Bangladesh,won,lost,2nd,India,Port of Spain,17-Mar-07
Bangladesh,lost,won,1st,India,Dhaka,10-May-07
Bangladesh,lost,lost,2nd,India,Dhaka,12-May-07
Bangladesh,aban,-,-,India,Chittagong,15-May-07
Bangladesh,lost,won,1st,India,Dhaka,12-Jun-08
Bangladesh,lost,won,1st,India,Karachi,28-Jun-08
Bangladesh,lost,won,1st,India,Dhaka,07-Jan-10
Bangladesh,lost,lost,1st,India,Dhaka,11-Jan-10
Bangladesh,lost,won,1st,India,Dambulla,16-Jun-10
Bangladesh,lost,won,2nd,India,Dhaka,19-Feb-11
Bangladesh,won,won,2nd,India,Dhaka,16-Mar-12
Bangladesh,lost,lost,1st,India,Fatullah,26-Feb-14
Bangladesh,lost,won,1st,India,Dhaka,15-Jun-14
Bangladesh,lost,won,2nd,India,Dhaka,17-Jun-14
Bangladesh,n/r,lost,2nd,India,Dhaka,19-Jun-14
Bangladesh,lost,lost,1st,India,Chittagong,27-Oct-88
Bangladesh,lost,won,1st,India,Chandigarh,25-Dec-90
Bangladesh,lost,won,1st,India,Sharjah,05-Apr-95
Bangladesh,lost,lost,1st,India,Colombo (SSC),24-Jul-97
Bangladesh,lost,lost,1st,India,Dhaka,10-Jan-98
Bangladesh,lost,lost,1st,India,Mohali,14-May-98
Bangladesh,lost,won,1st,India,Mumbai,25-May-98
Bangladesh,lost,won,1st,India,Dhaka,30-May-00
Bangladesh,lost,lost,2nd,India,Dhaka,11-Apr-03
Bangladesh,lost,won,1st,India,Dhaka,16-Apr-03
Bangladesh,lost,lost,1st,India,Colombo (SSC),21-Jul-04
Bangladesh,lost,won,2nd,India,Chittagong,23-Dec-04
Bangladesh,won,won,1st,India,Dhaka,26-Dec-04
Bangladesh,lost,lost,2nd,India,Dhaka,27-Dec-04
Bangladesh,won,lost,2nd,India,Port of Spain,17-Mar-07
Bangladesh,lost,won,1st,India,Dhaka,10-May-07
Bangladesh,lost,lost,2nd,India,Dhaka,12-May-07
Bangladesh,aban,-,-,India,Chittagong,15-May-07
Bangladesh,lost,won,1st,India,Dhaka,12-Jun-08
Bangladesh,lost,won,1st,India,Karachi,28-Jun-08
Bangladesh,lost,won,1st,India,Dhaka,07-Jan-10
Bangladesh,lost,lost,1st,India,Dhaka,11-Jan-10
Bangladesh,lost,won,1st,India,Dambulla,16-Jun-10
Bangladesh,lost,won,2nd,India,Dhaka,19-Feb-11
Bangladesh,won,won,2nd,India,Dhaka,16-Mar-12
Bangladesh,lost,lost,1st,India,Fatullah,26-Feb-14
Bangladesh,lost,won,1st,India,Dhaka,15-Jun-14
Bangladesh,lost,won,2nd,India,Dhaka,17-Jun-14
Bangladesh,n/r,lost,2nd,India,Dhaka,19-Jun-14
