Team,Result,Toss,Bat,Opposition,Ground,Date
England,won,won,2nd,India,Leeds,13 Jul 1974
England,won,lost,2nd,India,The Oval,15 Jul 1974
England,won,won,1st,India,Lord's,7 Jun 1975
England,won,won,2nd,India,Ahmedabad,25 Nov 1981
England,lost,lost,1st,India,Jalandhar,20 Dec 1981
England,lost,lost,1st,India,Cuttack,27 Jan 1982
England,won,won,2nd,India,Leeds,2 Jun 1982
England,won,lost,1st,India,The Oval,4 Jun 1982
England,lost,won,1st,India,Manchester,22 Jun 1983
England,won,won,2nd,India,Pune,5 Dec 1984
England,won,won,2nd,India,Cuttack,27 Dec 1984
England,won,won,2nd,India,Bangalore,20 Jan 1985
England,lost,lost,1st,India,Nagpur,23 Jan 1985
England,won,lost,1st,India,Chandigarh,27 Jan 1985
England,lost,won,2nd,India,Sydney,26 Feb 1985
England,lost,lost,1st,India,The Oval,24 May 1986
England,won,won,2nd,India,Manchester,26 May 1986
England,lost,lost,1st,India,Sharjah,2 Apr 1987
England,won,lost,1st,India,Mumbai,5 Nov 1987
England,lost,lost,1st,India,Kanpur,25 Oct 1989
England,lost,lost,1st,India,Leeds,18 Jul 1990
England,lost,lost,1st,India,Nottingham,20 Jul 1990
England,won,won,1st,India,Perth,22 Feb 1992
England,canc,-,-,India,Ahmedabad,16 Jan 1993
England,won,won,2nd,India,Jaipur,18 Jan 1993
England,lost,lost,1st,India,Chandigarh,21 Jan 1993
England,won,lost,1st,India,Bangalore,26 Feb 1993
England,won,won,2nd,India,Jamshedpur,1 Mar 1993
England,lost,lost,1st,India,Gwalior,4 Mar 1993
England,lost,lost,1st,India,Gwalior,5 Mar 1993
England,n/r,won,1st,India,The Oval,23 May 1996
England,won,won,2nd,India,Leeds,25 May 1996
England,won,lost,2nd,India,Manchester,26 May 1996
England,won,lost,1st,India,Sharjah,11 Dec 1997
England,lost,lost,2nd,India,Sharjah,9 Apr 1999
England,lost,lost,2nd,India,Sharjah,11 Apr 1999
England,lost,won,2nd,India,Birmingham,29 May 1999
England,lost,lost,2nd,India,Kolkata,19 Jan 2002
England,won,lost,1st,India,Cuttack,22 Jan 2002
England,lost,won,1st,India,Chennai,25 Jan 2002
England,lost,won,1st,India,Kanpur,28 Jan 2002
England,won,lost,1st,India,Delhi,31 Jan 2002
England,won,won,1st,India,Mumbai,3 Feb 2002
England,lost,won,1st,India,Lord's,29 Jun 2002
England,n/r,lost,2nd,India,Chester-le-Street,4 Jul 2002
England,won,lost,1st,India,The Oval,9 Jul 2002
England,lost,won,1st,India,Lord's,13 Jul 2002
England,lost,won,1st,India,Colombo (RPS),22 Sep 2002
England,lost,lost,2nd,India,Durban,26 Feb 2003
England,won,won,2nd,India,Nottingham,1 Sep 2004
England,won,lost,1st,India,The Oval,3 Sep 2004
England,lost,lost,2nd,India,Lord's,5 Sep 2004
England,lost,won,2nd,India,Delhi,28 Mar 2006
England,lost,won,1st,India,Faridabad,31 Mar 2006
England,lost,lost,2nd,India,Margao,3 Apr 2006
England,lost,won,1st,India,Kochi,6 Apr 2006
England,aban,-,-,India,Guwahati,9 Apr 2006
