Team,Result,Toss,Bat,Opposition,Ground,Date
West Indies,won,won,2nd,India,Birmingham,09-Jun-79
West Indies,won,lost,1st,India,Port of Spain,09-Mar-83
West Indies,lost,won,2nd,India,Albion,29-Mar-83
West Indies,won,won,2nd,India,St George's,07-Apr-83
West Indies,lost,won,2nd,India,Manchester,09-Jun-83
West Indies,won,won,1st,India,The Oval,15-Jun-83
West Indies,lost,won,2nd,India,Lord's,25-Jun-83
West Indies,won,won,2nd,India,Srinagar,13-Oct-83
West Indies,won,lost,2nd,India,Vadodara,09-Nov-83
West Indies,won,lost,2nd,India,Indore,01-Dec-83
West Indies,won,lost,1st,India,Jamshedpur,07-Dec-83
West Indies,won,won,2nd,India,Guwahati,17-Dec-83
West Indies,won,lost,2nd,India,Sharjah,22-Nov-85
West Indies,won,lost,1st,India,Sharjah,30-Nov-86
West Indies,won,won,1st,India,Nagpur,08-Dec-87
West Indies,won,lost,1st,India,Guwahati,23-Dec-87
West Indies,lost,lost,2nd,India,Kolkata,02-Jan-88
West Indies,won,lost,2nd,India,Rajkot,05-Jan-88
West Indies,won,lost,1st,India,Ahmedabad,07-Jan-88
West Indies,won,won,2nd,India,Faridabad,19-Jan-88
West Indies,won,lost,1st,India,Gwalior,22-Jan-88
West Indies,won,won,2nd,India,Thiruvananthapuram,25-Jan-88
West Indies,lost,won,2nd,India,Sharjah,16-Oct-88
West Indies,won,lost,2nd,India,Sharjah,21-Oct-88
West Indies,won,lost,1st,India,Bridgetown,07-Mar-89
West Indies,won,won,2nd,India,Port of Spain,09-Mar-89
West Indies,won,lost,2nd,India,Port of Spain,11-Mar-89
West Indies,won,lost,2nd,India,St John's,18-Mar-89
West Indies,won,lost,1st,India,Georgetown,21-Mar-89
West Indies,won,lost,2nd,India,Sharjah,13-Oct-89
West Indies,lost,won,2nd,India,Sharjah,16-Oct-89
West Indies,won,lost,1st,India,Delhi,23-Oct-89
West Indies,won,lost,2nd,India,Mumbai,30-Oct-89
West Indies,lost,won,2nd,India,Sharjah,19-Oct-91
West Indies,lost,lost,1st,India,Sharjah,22-Oct-91
West Indies,tied,won,2nd,India,Perth,06-Dec-91
West Indies,lost,lost,2nd,India,Adelaide,14-Dec-91
West Indies,won,lost,2nd,India,Brisbane,11-Jan-92
West Indies,lost,won,1st,India,Melbourne,16-Jan-92
West Indies,won,lost,2nd,India,Wellington,10-Mar-92
West Indies,won,won,1st,India,Ahmedabad,16-Nov-93
West Indies,lost,won,2nd,India,Kolkata,27-Nov-93
West Indies,won,won,1st,India,Faridabad,17-Oct-94
West Indies,lost,lost,1st,India,Mumbai,20-Oct-94
West Indies,lost,lost,1st,India,Chennai,23-Oct-94
West Indies,won,lost,1st,India,Kanpur,30-Oct-94
West Indies,lost,won,2nd,India,Kolkata,05-Nov-94
West Indies,lost,won,2nd,India,Visakhapatnam,07-Nov-94
West Indies,lost,won,1st,India,Cuttack,09-Nov-94
West Indies,lost,lost,2nd,India,Jaipur,11-Nov-94
West Indies,lost,won,1st,India,Gwalior,21-Feb-96
West Indies,won,lost,2nd,India,Port of Spain,26-Apr-97
West Indies,lost,lost,1st,India,Port of Spain,27-Apr-97
West Indies,won,lost,1st,India,Kingstown,30-Apr-97
West Indies,won,won,2nd,India,Bridgetown,03-May-97
West Indies,won,lost,1st,India,Sharjah,16-Dec-97
West Indies,won,lost,2nd,India,Dhaka,31-Oct-98
West Indies,won,won,1st,India,Singapore,05-Sep-99
West Indies,n/r,lost,2nd,India,Singapore,07-Sep-99
West Indies,won,won,2nd,India,Singapore,08-Sep-99
West Indies,lost,lost,1st,India,Toronto,11-Sep-99
West Indies,won,won,1st,India,Toronto,12-Sep-99
