Team,Result,Toss,Bat,Opposition,Ground,Date
Zimbabwe,lost,lost,1st,India,Leicester,11-Jun-83
Zimbabwe,lost,lost,2nd,India,Tunbridge Wells,18-Jun-83
Zimbabwe,lost,won,1st,India,Mumbai,17-Oct-87
Zimbabwe,lost,lost,1st,India,Ahmedabad,26-Oct-87
Zimbabwe,lost,lost,2nd,India,Hamilton,07-Mar-92
Zimbabwe,lost,won,2nd,India,Harare,25-Oct-92
Zimbabwe,lost,won,2nd,India,Faridabad,19-Mar-93
Zimbabwe,lost,lost,1st,India,Guwahati,22-Mar-93
Zimbabwe,lost,lost,1st,India,Pune,25-Mar-93
Zimbabwe,tied,won,2nd,India,Indore,18-Nov-93
Zimbabwe,lost,won,2nd,India,Kanpur,06-Mar-96
Zimbabwe,lost,lost,1st,India,Colombo (SSC),01-Sep-96
Zimbabwe,tied,won,1st,India,Paarl,27-Jan-97
Zimbabwe,won,lost,2nd,India,Centurion,07-Feb-97
Zimbabwe,lost,lost,1st,India,Benoni,09-Feb-97
Zimbabwe,won,won,2nd,India,Bulawayo,15-Feb-97
Zimbabwe,canc,-,-,India,Harare,17-Feb-97
Zimbabwe,lost,won,2nd,India,Vadodara,05-Apr-98
Zimbabwe,lost,won,2nd,India,Cuttack,09-Apr-98
Zimbabwe,lost,lost,1st,India,Bulawayo,26-Sep-98
Zimbabwe,lost,lost,1st,India,Bulawayo,27-Sep-98
Zimbabwe,won,lost,1st,India,Harare,30-Sep-98
Zimbabwe,lost,lost,1st,India,Sharjah,08-Nov-98
Zimbabwe,won,lost,1st,India,Sharjah,11-Nov-98
Zimbabwe,lost,lost,1st,India,Sharjah,13-Nov-98
Zimbabwe,won,lost,1st,India,Leicester,19-May-99
Zimbabwe,lost,won,2nd,India,Singapore,04-Sep-99
Zimbabwe,lost,won,2nd,India,Nairobi (Gym),01-Oct-99
Zimbabwe,lost,won,2nd,India,Sharjah,22-Oct-00
Zimbabwe,lost,lost,1st,India,Sharjah,26-Oct-00
Zimbabwe,lost,won,1st,India,Cuttack,02-Dec-00
Zimbabwe,lost,lost,2nd,India,Ahmedabad,05-Dec-00
Zimbabwe,won,lost,2nd,India,Jodhpur,08-Dec-00
Zimbabwe,lost,won,1st,India,Kanpur,11-Dec-00
Zimbabwe,lost,won,2nd,India,Rajkot,14-Dec-00
Zimbabwe,lost,lost,1st,India,Harare,24-Jun-01
Zimbabwe,lost,lost,1st,India,Bulawayo,27-Jun-01
Zimbabwe,won,lost,2nd,India,Faridabad,07-Mar-02
Zimbabwe,lost,lost,2nd,India,Mohali,10-Mar-02
Zimbabwe,won,lost,2nd,India,Kochi,13-Mar-02
Zimbabwe,lost,won,1st,India,Hyderabad (Deccan),16-Mar-02
Zimbabwe,lost,lost,2nd,India,Guwahati,19-Mar-02
Zimbabwe,lost,lost,2nd,India,Colombo (RPS),14-Sep-02
Zimbabwe,lost,won,2nd,India,Harare,19-Feb-03
Zimbabwe,lost,won,1st,India,Hobart,14-Jan-04
Zimbabwe,lost,lost,2nd,India,Brisbane,20-Jan-04
Zimbabwe,lost,lost,2nd,India,Adelaide,24-Jan-04
Zimbabwe,lost,won,1st,India,Perth,03-Feb-04
Zimbabwe,lost,won,2nd,India,Harare,29-Aug-05
Zimbabwe,lost,lost,1st,India,Harare,04-Sep-05
Zimbabwe,won,lost,2nd,India,Bulawayo,28-May-10
